k,Our - Mean,Our - Std,Naive - Mean,Naive - Std
<<<<<<< HEAD
1.0,0.917,0.19212235684583925,0.6855999999999999,0.34783996320147004
2.0,0.9186517859576138,0.16745883953435042,0.6340499633455438,0.2926265279508105
3.0,0.9277473082638499,0.1515388944064388,0.63605741301065,0.2707112873806887
4.0,0.940938457849075,0.13866151839615065,0.6571986304631643,0.25616641011111757
5.0,0.9512578794202775,0.12828733335435197,0.6820914868253812,0.2394550098651948
6.0,0.9529455653872931,0.12261091373208768,0.7057428058065259,0.222365388506125
7.0,0.9545248765560896,0.11739077080190141,0.7278753547248161,0.2067882158405537
8.0,0.9560195281659017,0.112543604330755,0.7488214801772037,0.19250590322870645
9.0,0.9574457882687863,0.10801411087530861,0.7688091634919211,0.1793941196507071
10.0,0.9588153581949164,0.10376435636553653,0.7880023877190342,0.16739079721445613
=======
1.0,0.8986000000000001,0.24082782231295452,0.7524000000000001,0.3274969312833328
2.0,0.9067743566930561,0.21649991617708966,0.6918067843968592,0.2881174167837252
3.0,0.9151179226093836,0.2014699902471766,0.685305262376452,0.2691357947205289
4.0,0.9265886028333836,0.18816503644406415,0.7001488391475529,0.2557524676917337
5.0,0.9343804909058858,0.177734640247345,0.721839858637353,0.24055984656156998
6.0,0.9369961596408934,0.16952696426229466,0.7423097218128416,0.22472290190022795
7.0,0.9394438631401253,0.1619028352960949,0.7614651121926928,0.21026902069262265
8.0,0.9417603565885048,0.15474517862465167,0.7795936707905798,0.1969881286277646
9.0,0.9439708531097862,0.14797505913019557,0.7968927120395451,0.18475419993315476
10.0,0.9460934880704356,0.14153714125880448,0.8135041608191543,0.17349600808984905
>>>>>>> 0c9a510e48917445f698bc0148817f7becfe6604
